1111S;2;1;1;sp;na;na;1;2;1;2;d;25143;ab;5;g;na;na;k;k;5;2;1;1;1;2;2;1;1;k;sp;n;1;1;1;2;na;na;2;g;sp;f;k;2;2;2;1;1;1
2258S;2;1;2;i;3,x;na;2;2;1;2;f;25134;f;5;na;2,y;na;p;na;3;2;2;2;1;2;2;1;1;k;s;ff,n,d;1;2;1;2;f;f;2;sp;s;na;fp;2;2;2;1;1;2
2262S;1;1;2;na;na;na;1;2;2;na;na;;na;na;na;na;na;na;na;na;na;na;na;na;na;2;1;2;k;na;na;1;1;2;2;na;na;na;na;na;na;na;na;na;na;na;na;na
3409S;2;1;2;i;ab;f;1;1;1;2;f;25431;f;4;sp;ab;f;k;k;0;1;2;2;2;2;2;1;1;k;s;f;2;1;2;1;f;f;4;sp;s;f;sp;0;2;2;1;2;1
3413S;2;2;1;str;s;f;1;1;2;2;d;25143;ab;3;ab;s;n,ff;k;k;6;2;1;1;2;1;2;2;2;k;3;n,ff;1;2;1;2;ks;ab;1;sp;2;f;sp;6;2;2;1;1;1
4560S;2;2;1;sp;ab;na;1;2;1;2;f;45123;ku;3;k;ab;na;k;k;5;1;2;1;2;1;1;1;2;k;3;f;1;1;2;2;na;f;4;na;ab;na;fp;5;1;2;1;1;2
1110T;2;2;2;na;ab;na;1;2;2;1;d;45132;f;4;k;ab;na;k;k;5;1;1;2;2;1;2;2;2;k;1;f;1;2;2;2;na;na;4;ab;ab;na;k;2;2;2;2;1;1
2261T;2;2;1;sp;1;n,ff;1;1;2;1;d;25143;f;4;k;k;k;k;k;10;2;1;1;2;1;2;1;2;k;k;n;1;1;1;1;k;ku;0;sp;2;n,ff;fp;5;1;1;2;2;2
3408T;2;2;1;i;3;n,ff;1;2;2;2;d;45132;ku;5;k;k;k;k;k;5;2;1;1;1;1;2;1;2;k;k;n;1;1;2;2;na;na;2;k;ab;na;k;5;na;2;1;1;2
3412T;0;0;na;na;ab;na;1;na;na;na;f;45312;na;4;g;5;n,ff;k;k;6;1;na;na;na;na;na;na;na;k;1;n;1;2;1;na;na;na;0;g;k;na;k;na;1;na;1;na;na
4559T;2;1;2;na;na;na;2;1;2;1;d;35241;f;5;ab;div,kl;f;k;k;2;1;1;1;2;2;2;2;1;na;kl;n,ff;1;1;2;2;ks;kt;2;na;na;na;k;2;1;2;2;1;1
1117Q;2;2;1;sp;k;k;1;1;1;2;k;;na;5;k;k;k;k;k;8;2;2;1;1;1;2;1;2;k;k;k;1;1;2;2;k;na;2;sp;k;nb;k;5;2;2;1;1;2
2264Q;2;2;1;k;kl;ff,d;1;2;1;2;f;25134;k;5;k;kl;ff;k;k;2;2;2;1;2;1;2;1;2;k;k;k;1;2;1;2;k;f;2;k;k;nb;k;5;2;2;1;1;2
2268Q;2;na;na;na;k;n,d;1;1;1;2;d;35241;f;5;ab;k;k;k;k;5;na;1;na;na;na;2;1;2;k;k;n;1;1;2;2;k;na;2;i;k;int;k;5;2;2;1;1;1
3415Q;1;1;2;na;f;f;1;2;1;2;d;25143;f;5;k;f;f;k;k;5;1;2;2;2;1;2;1;1;k;k;n;1;2;1;2;ks;ku;2;i;div,1;n,ff;k;5;2;2;1;1;2
4556Q;2;1;1;sp;1;n,ff;1;2;2;2;k;;f;5;e;ab;na;na;na;na;na;na;na;na;na;2;1;1;na;k;n;1;1;2;2;k;na;2;na;s;n,ff;k;5;2;2;1;1;2
1116R;2;2;2;sp;k;n;1;2;1;na;k;;k;5;s;k;n;k;k;5;2;2;1;1;1;2;2;2;sp;k;n;2;1;2;2;k;na;2;i;1;ff;k;5;2;2;1;1;2
2267R;2;2;1;k;k;k;1;2;1;2;k;;f;5;k;k;k;na;na;5;2;2;1;2;1;2;1;2;na;k;k;1;1;2;2;u;na;2;sp;k;f;k;5;2;2;1;1;2
3414R;2;2;1;sp;na;na;1;1;2;2;k;;ku;2;sp;na;na;p;f;3;1;2;2;2;1;1;2;1;i;na;na;1;2;1;2;ks;na;2;sp;na;na;k;5;1;2;1;1;0
3418R;2;1;1;k;k;k;1;2;1;2;k;;k;5;k;1;ff;p;na;na;1;2;1;2;2;2;1;1;na;na;na;1;2;1;2;na;na;2;k;1;ff;k;5;2;2;1;1;2
4565R;2;2;1;k;k;n;1;2;1;na;f;25134;f;5;k;1;k;k;k;5;2;2;1;1;1;2;1;2;k;1;n,ff;1;1;2;2;na;na;2;sp;k;k;k;5;2;2;1;1;2
1115S;1;2;2;ab;k;k;1;1;2;2;k;;f;5;e;k;k;k;k;5;1;2;1;2;1;1;2;1;k;s;f;2;1;2;2;na;f;4;na;k;k;sp;5;2;2;1;1;1
1119S;2;2;1;i;s;f;1;2;1;2;d;25143;f;4;k;s;f;k;f;0;1;2;2;2;1;1;1;2;k;ab;f;1;2;1;2;k;f;5;i;ab;f;fp;5;1;2;1;1;1
4568S;2;2;1;na;1;ff;1;2;1;2;k;;ks;5;k;k;int;k;k;5;2;2;1;1;1;2;1;2;na;k;n;1;2;1;2;k;na;2;ab;k;int;k;2;1;2;1;1;2
1114T;2;2;1;i;k;n,ub;1;2;1;2;d;25143;na;3;k;k;k;k;k;5;2;1;1;1;1;2;1;1;k;k;k;1;1;2;2;k;kt;2;i;k;n;k;5;2;2;1;1;2
1118T;1;2;1;k;kl;n,ff;1;2;2;2;k;;f;5;k;k;k;k;k;5;2;2;1;1;1;1;2;2;k;kl;ff;1;1;2;2;k;f;4;k;kl;ff;k;5;1;2;1;1;2
2632T;2;2;1;sp;ab;f;1;1;2;2;f;45123;ab;5;k;div;n,ff;k;k;5;2;2;1;1;1;2;1;2;k;k;n;1;2;1;2;ks;ab;2;k;k;fk;fp;6;2;2;1;1;2
2269T;2;2;1;k;x;f;1;2;1;2;k;;ku;5;p;k;k;k;k;5;2;1;1;1;2;2;1;2;k;k;k;1;2;1;2;k;k;2;k;k;nb;k;5;2;2;2;1;1
3416T;na;na;na;na;1;n,ff,ub;1;2;2;2;f;25134;na;5;g;k;k;k;p;2;2;2;1;2;1;2;1;2;k;k;n;1;2;1;2;k;f;4;g;ab;na;sp;6;1;2;1;1;2
4563T;2;2;1;k;k;k;1;2;2;2;f;45123;kr;5;k;k;k;k;k;5;2;2;1;1;1;2;1;2;k;k;k;1;1;2;2;k;f;2;k;k;int;k;5;2;2;1;1;2
4567T;1;2;1;na;ab;na;1;1;1;1;d;25143;ab;5;k;ab;na;p;f;6;2;2;1;2;1;2;1;1;p;na;na;1;1;2;2;ks;na;5;na;na;na;na;2;1;2;2;1;1
