3400T;2;2;1;na;div,1;n,ff;1;2;1;2;d;25143;f;5;k;div,1;ff;k;k;5;2;1;1;1;2;2;1;2;k;1;ff;1;1;1;2;k;ku;2;na;div,2;n,ff;na;5;2;1;1;1;2
4547T;1;2;2;sp;k;n;1;2;1;2;f;25134;f;4;sp;kl,s;ff;k;k;5;2;2;1;1;2;2;1;2;p;k;k;1;1;1;2;f;na;4;sp;k;n;k;0;2;2;1;1;1
4551T;2;1;2;i;s;f;1;2;2;2;d;25143;f;2;k;ab;na;na;f;5;2;2;2;1;2;1;2;2;k;na;na;1;2;1;1;na;na;4;e;2;f;na;3;na;na;1;na;na
1105Q;2;2;1;sp;ab;na;1;2;2;1;d;25143;f;0;p;ab;na;k;na;10;1;1;2;1;2;2;1;2;k;k;n;1;1;2;1;k;f;2;k;k;n;k;5;2;2;1;1;1
2256Q;na;na;na;na;k;k;2;2;1;2;f;15243;f;5;na;div,kl,1;ff;k;k;na;2;1;1;2;1;2;1;2;na;k;k;2;1;2;2;u;ku;2;g;div,1;ff;fp;5;2;2;1;1;2
3403Q;1;1;2;k;ab;na;1;2;2;2;d;25143;f;5;k;na;na;k;k;3;2;2;1;1;1;2;1;1;p;ab;na;1;2;2;2;k;ks;2;k;na;na;k;6;2;2;1;1;2
3407Q;2;2;1;na;s;n,ff;1;2;1;2;d;25143;f;2;sp;s,2;n,ub,ff;na;na;2;2;1;1;2;1;2;1;1;k;k;k;1;1;2;2;k;k;2;k;ab;na;k;5;2;2;1;1;2
4554Q;1;1;2;na;na;na;1;2;2;2;f;15423;f;5;na;na;na;na;na;5;2;2;1;2;1;1;2;2;ab;na;na;1;2;2;1;na;na;2;na;na;na;na;5;2;2;1;1;1
1104R;2;1;1;na;k;n;1;2;2;1;na;;na;4;na;1;n,ff;na;na;7;2;1;2;2;1;2;1;1;na;div,kl;n,ff;1;2;1;2;na;na;4;s;ab;f;na;6;2;2;1;1;2
2255R;2;2;1;k;x;n;1;2;1;2;k;;ku;5;k;k;n;k;k;5;2;1;2;1;1;2;1;2;k;k;k;1;2;1;2;ks;ks,ku;2;k;k;n;k;4;2;2;1;1;1
3406R;2;1;1;k;kl;ff;1;2;1;2;f;25341;f;5;na;k;k;k;p;10;2;2;1;1;2;2;1;1;k;1,x;f;1;1;2;2;u;f;2;i;k;int;k;9;2;2;1;1;1
